Species	ID	Individuals	Cortex	Medulle	AxeCentral	BrancheDiam	AxeMedulle	AxeCortex	MedulleCortex
barbata-PC	BAR11	1	6.0	30.5	27.0	1.4	0.9	4.5	5.1
barbata-PC	BAR30	2	5.5	22.5	45.0	0.8	2.0	8.2	4.1
barbata-PC	BAR31	3	7.5	19.0	47.0	1.0	2.4	6.3	2.5
barbata-PC	BAR17	4	5.0	21.5	47.0	1.1	2.2	9.4	4.3
barbata-PC	BAR13	5	5.0	23.5	43.0	0.7	1.9	8.6	4.7
barbata-PC	FIL37	6	5.0	24.0	41.0	1.4	1.7	8.2	4.8
barbata-PC	BAR37	7	5.0	30.5	29.0	1.0	0.9	5.8	6.1
barbata-PC	BAR26	8	5.5	30.5	27.0	1.1	0.9	4.9	5.5
barbata-PC	BAR19	9	3.0	28.5	37.0	1.3	1.3	12.3	9.5
barbata-PC	CHE14	10	5.5	23.5	42.0	0.9	1.8	7.6	4.3
barbata-PC	BAR6	11	6.5	29.5	30.0	0.9	1.0	4.6	4.5
dasopoga-PC	FIL36	4	9.5	23.5	34.0	1.2	1.4	3.6	2.5
dasopoga-PC	CHE17	5	10.5	19.5	39.0	1.0	2.0	3.7	1.9
dasopoga-PC	SBS06	6	10.5	16.5	46.0	1.0	2.8	4.4	1.6
dasopoga-PC	DIP06	12	10.0	15.0	50.0	1.0	3.3	5.0	1.5
dasopoga-PC	DIP09	13	9.0	19.0	44.0	1.1	2.4	4.9	2.1
dasopoga-PC	BAR08	17	8.5	26.5	30.0	1.2	1.1	3.5	3.1
dasopoga-PC	CHE16	1	12.0	16.0	44.0	0.8	2.8	3.7	1.3
dasopoga-PC	HES03	2	9.0	22.5	36.0	1.1	1.6	4.0	2.5
dasopoga-PC	CHE15	3	12.0	19.0	38.0	0.8	2.0	3.2	1.6
dasopoga-PC	BAR18	7	10.5	21.5	36.0	0.8	1.7	3.4	2.0
dasopoga-PC	DIP07	8	9.5	19.0	43.0	1.1	2.3	4.5	2.0
dasopoga-PC	CHE07	9	9.0	21.0	39.0	0.9	1.9	4.3	2.3
dasopoga-PC	DIP11	10	8.5	13.5	55.0	1.1	4.0	6.5	1.6
dasopoga-PC	BAR05	11	7.5	17.0	51.0	1.1	3.0	6.8	2.3
dasopoga-PC	BAR16	14	9.5	28.5	24.0	0.5	0.8	2.5	3.0
dasopoga-PC	BAR07	15	11.0	23.5	31.0	0.5	1.3	2.8	2.1
dasopoga-PC	DIP2	16	12.0	13.0	50.0	0.9	3.8	4.2	1.1
dasopoga-PC	CHE09	18	8.0	20.0	44.0	1.0	2.2	5.5	2.5
dasopoga-PC	FIL05	19	9.5	18.0	45.0	0.6	2.5	4.7	1.9
